C#,CNAME,PERIOD,CREDIT,TEACHER
0000,生命的存在与死亡教育,32.0,2.0,"洪苏涵,董研林"
0001,大学生心理健康与自我调适,32.0,2.0,"闫琼,李美婷"
0002,大学生心理健康与自我调适,32.0,2.0,"赵颖,李楠"
0003,课外实践8学分,0.0,8.0,"任君,刘晗梦,杨瑞,高天"
0004,课外实践8学分,0.0,8.0,"马瑞,罗嘉晖,刘瑜"
0005,课外实践8学分,0.0,8.0,"龙树荣,胡淑蕾"
0006,课外实践8学分,0.0,8.0,"梁博,肖飞,刘阿敏"
0007,课外实践8学分,0.0,8.0,"田亮,沈飞跃"
0008,课外实践8学分,0.0,8.0,"袁丽倩,高琼"
0009,课外实践8学分,0.0,8.0,"景南,胡思琪"
0010,课外实践8学分,0.0,8.0,"顾蓉,郎如静"
0011,课外实践8学分,0.0,8.0,"潘运亮,洪苏涵"
0012,大学生创业训练与实践,32.0,2.0,"郑旭红,朱宏伟"
0013,大学生职业发展与规划,32.0,2.0,姬姣姣
0014,大学生职业发展与规划,32.0,2.0,"朱宏伟,叶倩,郑旭红"
0015,大学生职业发展与规划,32.0,2.0,刘春阳
0016,大学生职业发展与规划,32.0,2.0,"董研林,洪苏涵"
0017,大学生职业发展与规划,32.0,2.0,"陈勇,王婧"
0018,在线开放课程助教,0.0,0.0,
0019,在线开放课程助教,0.0,0.0,
0020,在线开放课程助教,0.0,0.0,
0021,在线开放课程助教,0.0,0.0,
0022,在线开放课程助教,0.0,0.0,
0023,在线开放课程助教,0.0,0.0,肖胜军
0024,毕业设计（论文）,128.0,8.0,赵炜
0025,国际贸易实务,64.0,4.0,杨杨
0026,中国传统文化实践-2,16.0,1.0,尚磊明
0027,中国传统文化实践-2,16.0,1.0,孙立滨
0028,中国传统文化实践-2,16.0,1.0,孙立滨
0029,中国概况,32.0,2.0,赵炜
0030,中国概况,32.0,2.0,杨杨
0031,当代影视鉴赏,32.0,2.0,张知倞
0032,简明中国历史,32.0,2.0,李睿
0033,汉语综合课2,96.0,6.0,杨杨
0034,汉语听说2,64.0,4.0,李馨郁
0035,汉语听说2,64.0,4.0,李馨郁
0036,汉语听力-2,64.0,4.0,冯潇
0037,汉语听力-2,64.0,4.0,戴艳茹
0038,汉语听力-2,64.0,4.0,马春燕
0039,汉语口语-2,96.0,6.0,孔娟
0040,汉语口语-2,96.0,6.0,孔娟
0041,汉语口语-2,96.0,6.0,周瑜洁
0042,初级汉语听力2,64.0,4.0,邵一圃
0043,中级汉语听说2,64.0,4.0,冯潇
0044,中级汉语写作2,32.0,2.0,杨莉莉
0045,初级汉语口语2,96.0,6.0,杨莉莉
0046,中级汉语阅读2,64.0,4.0,邵一圃
0047,HSK四级综合课,160.0,10.0,谈芳
0048,HSK四级综合课,160.0,10.0,韩娇娇
0049,HSK四级综合课,160.0,10.0,韩娇娇
0050,汉语综合-2,64.0,4.0,张知倞
0051,基础医学汉语-2,96.0,6.0,戴艳茹
0052,基础医学汉语-2,96.0,6.0,周瑜洁
0053,基础医学汉语-2,96.0,6.0,海莹
0054,初级汉语精读2,160.0,10.0,孙玉茜
0055,中级汉语精读2,128.0,8.0,路荣
0056,现代汉语2,32.0,2.0,冯潇
0057,商务对话-2,64.0,4.0,马春燕
0058,商务汉语写作-2,32.0,2.0,李馨郁
0059,商务汉语综合-2,96.0,6.0,赵炜
0060,中国经济与对外贸易概况,32.0,2.0,杨杨
0061,汉字概论,32.0,2.0,李馨郁
0062,商务新闻阅读,32.0,2.0,孙玉茜
0063,中国古代文学,32.0,2.0,马春燕
0064,文科高等数学,64.0,4.0,贾应智
0065,工业社会学,24.0,1.5,高建民
0066,制造与社会发展,32.0,2.0,李兵
0067,工业文明与数字社会,32.0,2.0,"高建民,孙孝飞,马富银,温广瑞,王永泉"
0068,工程实践与伦理,32.0,2.0,"周延云,王小鹏,张启路,马富银,胡桥,周科,苏文斌"
0069,创新思维和机器人创客实践,48.0,3.0,"张英杰,张政,徐海波"
0070,食品化学,56.0,3.0,彭锦峰
0071,微生物学,32.0,2.0,"薛晚利,代秉玲"
0072,微生物学实验,32.0,1.0,张璐薇
0073,项目管理,32.0,2.0,耿海鹏
0074,项目管理,32.0,2.0,姜洪权
0075,项目管理,32.0,2.0,孙岩桦
0076,项目管理,32.0,2.0,范亮亮
0077,数字化设计与制造软件应用基础,40.0,2.0,许睦旬
0078,走进机器人：项目驱动的创新与实践,52.0,2.0,徐俊
0079,艺术设计思维与实践,32.0,2.0,"杨增耀,李萌"
0080,人工智能导论,40.0,2.0,"张小栋,秦立果,王晶"
0081,机械设计基础Ⅲ,48.0,2.5,徐亮
0082,美学与设计,32.0,2.0,蔺肖曼
0083,设计调查,32.0,2.0,"杨增耀,张煜"
0084,设计造型Ⅱ,48.0,2.0,蔺肖曼
0085,人因素和人机学,48.0,2.5,"李宏伟,李萌,张煜"
0086,社会创新设计,40.0,2.0,张煜
0087,人机界面设计,40.0,2.0,杨增耀
0088,工业大数据处理与程序设计,40.0,2.0,仇国巍
0089,Web编程技术,40.0,2.0,"谢涛,李宏伟"
0090,工业设计实践Ⅱ-5,32.0,1.0,杨增耀
0091,工业设计实践Ⅱ-1,32.0,1.0,李萌
0092,工业设计实践Ⅰ-5,32.0,1.0,张煜
0093,工业设计实践Ⅰ-2,32.0,1.0,蔺肖曼
0094,无线传感网络技术,24.0,1.5,韦学勇
0095,测试技术,48.0,2.0,"徐光华,李敏"
0096,数字图像处理,40.0,2.0,赵自新
0097,智能仪器与虚拟仪器设计,52.0,3.0,"侯成刚,刘弹"
0098,设备监测与诊断技术及应用,36.0,1.5,"徐光华,梁霖"
0099,机床精密测量与动态测试,40.0,2.0,"李兵,魏翔"
0100,仪器设计综合性实验-1,80.0,2.5,"侯成刚,刘弹"
0101,CDIO项目实践,56.0,2.0,王永泉
0102,光电检测专题实验,32.0,1.0,李珂嘉
0103,光电检测专题实验,32.0,1.0,张璐薇
0104,综合性实践训练,64.0,2.0,赵宏
0105,机械工程导论,16.0,1.0,刘志刚
0106,机械工程导论,16.0,1.0,朱永生
0107,机械工程导论,16.0,1.0,李涤尘
0108,机械工程导论,16.0,1.0,吴成军
0109,智能制造工程导论,16.0,1.0,"江平宇,张小栋,陈雪峰,周光辉,曹军义,陈贵敏,刘啸川,黄科"
0110,工程制图,32.0,2.0,姜维
0111,工程制图,32.0,2.0,高琳
0112,工程制图,32.0,2.0,梁庆宣
0113,工程制图,32.0,2.0,刘弹
0114,工程制图,32.0,2.0,刘意
0115,工程制图,32.0,2.0,王小章
0116,工程制图,32.0,2.0,戚社苗
0117,工程制图,32.0,2.0,史晓军
0118,工程制图,32.0,2.0,许睦旬
0119,工程制图,32.0,2.0,孙挪刚
0120,工程制图,32.0,2.0,陶唐飞
0121,工程制图,32.0,2.0,王文君
0122,工程制图,32.0,2.0,王小章
0123,工程制图,32.0,2.0,肖鸿
0124,工程制图,32.0,2.0,许睦旬
0125,工程制图,32.0,2.0,张群明
0126,工程制图,32.0,2.0,"郭馨,张航"
0127,工程制图,32.0,2.0,张志芬
0128,工程制图,32.0,2.0,赵明
0129,工程制图,32.0,2.0,李骁
0130,工程制图,32.0,2.0,苏文军
0131,工程制图,32.0,2.0,刘飞
0132,工程制图,32.0,2.0,王永飞
0133,工程制图,32.0,2.0,杨旭
0134,工程制图,32.0,2.0,崔路卿
0135,工程制图,32.0,2.0,杜洋
0136,工程制图,32.0,2.0,杨晓喆
0137,工程制图,32.0,2.0,张小辉
0138,工程制图,32.0,2.0,朱林波
0139,工程制图,32.0,2.0,苏文军
0140,工程制图,32.0,2.0,苏文军
0141,工程制图,32.0,2.0,张四聪
0142,工程制图,32.0,2.0,"张航,郭馨"
0143,工程制图,32.0,2.0,"郭馨,张航"
0144,工程图学,52.0,3.0,许睦旬
0145,工程图学,52.0,3.0,张群明
0146,工程图学,52.0,3.0,陶唐飞
0147,机械设计基础Ⅰ,72.0,4.0,王恪典
0148,机械设计基础Ⅰ,72.0,4.0,徐亮
0149,机械设计基础Ⅰ,72.0,4.0,"李宝童,赵强强"
0150,机械设计基础Ⅰ,72.0,4.0,"孙若斌,施虎"
0151,机械设计基础Ⅰ,72.0,4.0,"刘宏磊,朱建"
0152,机械设计基础Ⅰ,72.0,4.0,"武通海,王硕"
0153,机械设计基础Ⅰ,72.0,4.0,"陈丽,刘恒"
0154,机械设计基础Ⅱ,56.0,3.0,"陈丽,徐亮"
0155,机械设计基础Ⅱ,56.0,3.0,"鲁中良,王亚南"
0156,机械设计基础Ⅱ,56.0,3.0,"张辉,史江海"
0157,大数据技术,36.0,2.0,"严如强,马猛"
0158,大数据技术,64.0,4.0,"张留洋,李乃鹏,刘啸川,马猛"
0159,材料力学（英）,48.0,3.0,娄燕山
0160,工业互联网与云计算基础,56.0,3.0,"曹军义,张政"
0161,工业互联网与云计算基础,56.0,3.0,"朱子才,吴晓军"
0162,机械设计基础课程设计,32.0,1.0,陈丽
0163,机械制造技术基础,56.0,3.0,王春慧
0164,机械制造技术基础,56.0,3.0,金涛
0165,机械制造技术基础,56.0,3.0,张星
0166,机械制造技术基础,56.0,3.0,李旸
0167,机械制造技术基础,56.0,3.0,"吕盾,洪军"
0168,机械控制工程基础,56.0,3.0,"李小虎,范淑琴"
