S#,C#,GRADE
48290710,2336,83
48290710,1082,48
48290710,0368,67
48290710,0020,62
48290710,0213,66
48290710,2971,39
48290710,1833,44
48290710,1735,95
48290710,0222,56
48290710,2050,51
48290710,2900,41
48290710,1643,62
48290710,3015,69
48290710,0616,33
48290710,3030,74
48290710,1616,43
48290710,1584,34
48290710,0641,70
48290710,1475,84
48290710,3503,97
57000165,1434,78
57000165,2458,49
57000165,1725,99
57000165,1795,84
57000165,3194,95
57000165,3159,54
57000165,3644,54
57000165,3444,40
57000165,1559,31
57000165,2894,84
57000165,2392,75
57000165,3348,45
57000165,3271,59
57000165,0018,65
57000165,0962,47
57000165,3573,70
57000165,3453,38
57000165,2887,69
57000165,2077,75
57000165,1519,83
41050958,2940,83
41050958,1454,43
41050958,1401,32
41050958,2063,37
41050958,0517,95
41050958,1056,86
41050958,2857,77
41050958,1403,31
41050958,0867,56
41050958,2760,79
41050958,0953,95
41050958,2648,74
41050958,2855,40
41050958,3685,56
41050958,2786,89
41050958,2618,79
41050958,0614,36
41050958,0134,66
41050958,0273,39
41050958,3506,90
16546836,1934,42
16546836,0517,69
16546836,2264,87
16546836,1295,63
16546836,2675,49
16546836,1425,73
16546836,3222,77
16546836,1264,80
16546836,1478,73
16546836,0298,79
16546836,2940,52
16546836,0406,72
16546836,2172,51
16546836,2696,50
16546836,1754,76
16546836,3390,77
16546836,1037,31
16546836,0308,94
16546836,1221,44
16546836,1983,31
80234888,0026,62
80234888,1032,57
80234888,1895,66
80234888,3170,91
80234888,1496,38
80234888,2519,97
80234888,1658,37
80234888,3349,38
80234888,2792,75
80234888,3199,69
80234888,2772,82
80234888,2962,60
80234888,1762,56
80234888,1199,95
80234888,0670,89
80234888,2815,46
80234888,0123,31
80234888,2414,58
80234888,1138,95
80234888,2070,39
36689097,3141,68
36689097,2911,59
36689097,1304,47
36689097,1193,73
36689097,3491,47
36689097,0763,62
36689097,3038,82
36689097,3508,66
36689097,2807,39
36689097,3111,69
36689097,2751,45
36689097,1575,60
36689097,0161,47
36689097,3394,58
36689097,2183,33
36689097,0259,82
36689097,0505,53
36689097,1818,32
36689097,1483,92
36689097,2516,36
93576249,2536,48
93576249,1654,70
93576249,2384,90
93576249,1378,92
93576249,0417,66
93576249,2376,44
93576249,2733,34
93576249,0289,76
93576249,2498,40
93576249,1136,62
93576249,1984,78
93576249,1991,45
93576249,3129,79
